ParameterName,IsChangePoint,Value,Time
Temperature,Yes,93,01/03/2024 10:56:30
Temperature,Yes,9,01/03/2024 11:02:01
Temperature,Yes,96,01/03/2024 10:57:25
Temperature,Yes,20,01/03/2024 11:03:06
Temperature,Yes,11,01/03/2024 11:02:26
Temperature,Yes,69,01/03/2024 11:04:06
Temperature,Yes,11,01/03/2024 11:02:26
Temperature,Yes,61,01/03/2024 11:05:11
Temperature,Yes,69,01/03/2024 11:04:06
Temperature,Yes,11,01/03/2024 11:02:26
Temperature,Yes,15,01/03/2024 11:06:11
Temperature,Yes,5,01/03/2024 11:05:26
Temperature,Yes,69,01/03/2024 11:04:06
Temperature,Yes,11,01/03/2024 11:02:26
Temperature,Yes,83,01/03/2024 11:07:11
Temperature,Yes,83,01/03/2024 11:06:46
Temperature,Yes,77,01/03/2024 11:05:21
Temperature,Yes,69,01/03/2024 11:04:06
Temperature,Yes,95,01/03/2024 11:08:11
Temperature,Yes,12,01/03/2024 11:06:51
Temperature,Yes,77,01/03/2024 11:05:21
Temperature,Yes,69,01/03/2024 11:04:06
Temperature,Yes,74,01/03/2024 11:09:16
Temperature,Yes,15,01/03/2024 11:08:16
Temperature,Yes,12,01/03/2024 11:06:51
Temperature,Yes,77,01/03/2024 11:05:21
Temperature,Yes,0,01/03/2024 11:11:02
Temperature,Yes,15,01/03/2024 11:08:16
Temperature,Yes,12,01/03/2024 11:06:51
Temperature,Yes,2,01/03/2024 11:12:02
Temperature,Yes,94,01/03/2024 11:11:22
Temperature,Yes,15,01/03/2024 11:08:16
Temperature,Yes,42,01/03/2024 11:13:02
Temperature,Yes,94,01/03/2024 11:11:22
Temperature,Yes,15,01/03/2024 11:08:16
Temperature,Yes,30,01/03/2024 11:14:02
Temperature,Yes,94,01/03/2024 11:11:22
Temperature,Yes,39,01/03/2024 11:15:02
Temperature,Yes,72,01/03/2024 11:14:37
Temperature,Yes,6,01/03/2024 11:14:12
Temperature,Yes,94,01/03/2024 11:11:22
Temperature,Yes,64,01/03/2024 11:16:02
Temperature,Yes,54,01/03/2024 11:15:37
Temperature,Yes,6,01/03/2024 11:14:52
Temperature,Yes,6,01/03/2024 11:14:12
Temperature,Yes,60,01/03/2024 11:17:02
Temperature,Yes,37,01/03/2024 11:16:07
Temperature,Yes,7,01/03/2024 11:15:42
Temperature,Yes,53,01/03/2024 11:15:17
Temperature,Yes,6,01/03/2024 11:14:52
Temperature,Yes,6,01/03/2024 11:14:12
Temperature,Yes,41,01/03/2024 11:18:02
Temperature,Yes,23,01/03/2024 11:17:27
Temperature,Yes,94,01/03/2024 11:16:52
Temperature,Yes,37,01/03/2024 11:16:07
Temperature,Yes,7,01/03/2024 11:15:42
Temperature,Yes,53,01/03/2024 11:15:17
Temperature,Yes,6,01/03/2024 11:14:52
Temperature,Yes,6,01/03/2024 11:14:12
Temperature,Yes,31,01/03/2024 11:19:03
Temperature,Yes,86,01/03/2024 11:18:33
Temperature,Yes,23,01/03/2024 11:17:27
Temperature,Yes,94,01/03/2024 11:16:52
Temperature,Yes,37,01/03/2024 11:16:07
Temperature,Yes,7,01/03/2024 11:15:42
Temperature,Yes,53,01/03/2024 11:15:17
Temperature,Yes,6,01/03/2024 11:14:52
Temperature,Yes,99,01/03/2024 11:20:03
Temperature,Yes,86,01/03/2024 11:18:33
Temperature,Yes,23,01/03/2024 11:17:27
Temperature,Yes,94,01/03/2024 11:16:52
Temperature,Yes,37,01/03/2024 11:16:07
Temperature,Yes,7,01/03/2024 11:15:42
Temperature,Yes,69,01/03/2024 11:21:03
Temperature,Yes,4,01/03/2024 11:20:28
Temperature,Yes,86,01/03/2024 11:18:33
Temperature,Yes,23,01/03/2024 11:17:27
Temperature,Yes,94,01/03/2024 11:16:52
Temperature,Yes,84,01/03/2024 11:22:03
Temperature,Yes,37,01/03/2024 11:21:18
Temperature,Yes,39,01/03/2024 11:20:53
Temperature,Yes,4,01/03/2024 11:20:28
Temperature,Yes,86,01/03/2024 11:18:33
Temperature,Yes,23,01/03/2024 11:17:27
Temperature,Yes,75,01/03/2024 11:23:03
Temperature,Yes,96,01/03/2024 11:22:13
Temperature,Yes,37,01/03/2024 11:21:18
Temperature,Yes,39,01/03/2024 11:20:53
Temperature,Yes,4,01/03/2024 11:20:28
Temperature,Yes,86,01/03/2024 11:18:33
Temperature,Yes,58,01/03/2024 11:24:03
Temperature,Yes,79,01/03/2024 11:23:18
Temperature,Yes,96,01/03/2024 11:22:13
Temperature,Yes,37,01/03/2024 11:21:18
Temperature,Yes,39,01/03/2024 11:20:53
Temperature,Yes,4,01/03/2024 11:20:28
Temperature,Yes,15,01/03/2024 11:25:03
Temperature,Yes,79,01/03/2024 11:23:18
Temperature,Yes,96,01/03/2024 11:22:13
Temperature,Yes,37,01/03/2024 11:21:18
Temperature,Yes,39,01/03/2024 11:20:53
Temperature,Yes,4,01/03/2024 11:20:28
Temperature,Yes,28,01/03/2024 11:26:03
Temperature,Yes,79,01/03/2024 11:23:18
Temperature,Yes,96,01/03/2024 11:22:13
Temperature,Yes,12,01/03/2024 11:27:03
Temperature,Yes,79,01/03/2024 11:23:18
Temperature,Yes,22,01/03/2024 11:28:03
Temperature,Yes,98,01/03/2024 11:27:28
Temperature,Yes,73,01/03/2024 11:29:04
Temperature,Yes,54,01/03/2024 11:28:39
Temperature,Yes,26,01/03/2024 11:27:53
Temperature,Yes,98,01/03/2024 11:27:28
Temperature,Yes,25,01/03/2024 11:30:04
Temperature,Yes,79,01/03/2024 11:28:44
Temperature,Yes,26,01/03/2024 11:27:53
Temperature,Yes,98,01/03/2024 11:27:28
Temperature,Yes,8,01/03/2024 11:31:04
Temperature,Yes,82,01/03/2024 11:30:34
Temperature,Yes,1,01/03/2024 11:30:09
Temperature,Yes,54,01/03/2024 11:28:39
Temperature,Yes,26,01/03/2024 11:27:53
Temperature,Yes,98,01/03/2024 11:27:28
Temperature,Yes,99,01/03/2024 11:32:04
Temperature,Yes,57,01/03/2024 11:30:49
Temperature,Yes,28,01/03/2024 11:30:24
Temperature,Yes,79,01/03/2024 11:29:59
Temperature,Yes,54,01/03/2024 11:28:39
Temperature,Yes,26,01/03/2024 11:27:53
Temperature,Yes,98,01/03/2024 11:27:28
Temperature,Yes,94,01/03/2024 11:33:04
Temperature,Yes,4,01/03/2024 11:32:19
Temperature,Yes,82,01/03/2024 11:30:34
Temperature,Yes,1,01/03/2024 11:30:09
Temperature,Yes,54,01/03/2024 11:28:39
Temperature,Yes,58,01/03/2024 11:34:04
Temperature,Yes,92,01/03/2024 11:33:34
Temperature,Yes,4,01/03/2024 11:32:19
Temperature,Yes,82,01/03/2024 11:30:34
Temperature,Yes,1,01/03/2024 11:30:09
Temperature,Yes,55,01/03/2024 11:35:04
Temperature,Yes,11,01/03/2024 11:34:34
Temperature,Yes,92,01/03/2024 11:33:34
Temperature,Yes,4,01/03/2024 11:32:19
Temperature,Yes,82,01/03/2024 11:30:34
Temperature,Yes,8,01/03/2024 11:36:04
Temperature,Yes,13,01/03/2024 11:35:14
Temperature,Yes,11,01/03/2024 11:34:34
Temperature,Yes,92,01/03/2024 11:33:34
Temperature,Yes,4,01/03/2024 11:32:19
Temperature,Yes,32,01/03/2024 11:37:04
Temperature,Yes,90,01/03/2024 11:35:59
Temperature,Yes,13,01/03/2024 11:35:14
Temperature,Yes,11,01/03/2024 11:34:34
Temperature,Yes,92,01/03/2024 11:33:34
Temperature,Yes,12,01/03/2024 11:38:04
Temperature,Yes,81,01/03/2024 11:37:39
Temperature,Yes,90,01/03/2024 11:35:59
Temperature,Yes,13,01/03/2024 11:35:14
Temperature,Yes,11,01/03/2024 11:34:34
Temperature,Yes,92,01/03/2024 11:33:34
Temperature,Yes,88,01/03/2024 11:39:00
Temperature,Yes,82,01/03/2024 11:37:54
Temperature,Yes,90,01/03/2024 11:35:59
Temperature,Yes,13,01/03/2024 11:35:14
Temperature,Yes,11,01/03/2024 11:34:34
Temperature,Yes,73,01/03/2024 11:40:00
Temperature,Yes,33,01/03/2024 11:37:59
Temperature,Yes,62,01/03/2024 11:37:34
Temperature,Yes,90,01/03/2024 11:35:59
Temperature,Yes,31,01/03/2024 11:41:00
Temperature,Yes,94,01/03/2024 11:40:35
Temperature,Yes,79,01/03/2024 11:40:10
Temperature,Yes,33,01/03/2024 11:37:59
Temperature,Yes,62,01/03/2024 11:37:34
Temperature,Yes,53,01/03/2024 11:42:00
Temperature,Yes,91,01/03/2024 11:40:40
Temperature,Yes,7,01/03/2024 11:40:15
Temperature,Yes,33,01/03/2024 11:37:59
Temperature,Yes,62,01/03/2024 11:37:34
Temperature,Yes,4,01/03/2024 11:43:00
Temperature,Yes,22,01/03/2024 11:42:20
Temperature,Yes,91,01/03/2024 11:40:40
Temperature,Yes,7,01/03/2024 11:40:15
Temperature,Yes,83,01/03/2024 11:44:00
Temperature,Yes,22,01/03/2024 11:42:20
Temperature,Yes,91,01/03/2024 11:40:40
Temperature,Yes,7,01/03/2024 11:40:15
Temperature,Yes,12,01/03/2024 11:45:00
Temperature,Yes,22,01/03/2024 11:42:20
Temperature,Yes,91,01/03/2024 11:40:40
Temperature,Yes,77,01/03/2024 11:46:00
Temperature,Yes,27,01/03/2024 11:45:15
Temperature,Yes,95,01/03/2024 11:44:50
Temperature,Yes,22,01/03/2024 11:42:20
Temperature,Yes,65,01/03/2024 11:47:00
Temperature,Yes,77,01/03/2024 11:45:20
Temperature,Yes,95,01/03/2024 11:44:50
Temperature,Yes,47,01/03/2024 11:48:01
Temperature,Yes,12,01/03/2024 11:47:35
Temperature,Yes,77,01/03/2024 11:45:20
Temperature,Yes,95,01/03/2024 11:44:50
Temperature,Yes,64,01/03/2024 11:49:01
Temperature,Yes,80,01/03/2024 11:47:45
Temperature,Yes,76,01/03/2024 11:47:15
Temperature,Yes,77,01/03/2024 11:45:20
Temperature,Yes,95,01/03/2024 11:44:50
Temperature,Yes,61,01/03/2024 11:49:56
Temperature,Yes,80,01/03/2024 11:47:45
Temperature,Yes,76,01/03/2024 11:47:15
Temperature,Yes,77,01/03/2024 11:45:20
