ParameterName,IsChangePoint,Value,Time
Temperature,Yes,46,01/04/2024 07:12:44
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,95,01/04/2024 07:10:49
Temperature,Yes,68,01/04/2024 07:10:24
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,56,01/04/2024 07:08:44
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,78,01/04/2024 07:12:09
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,95,01/04/2024 07:10:49
Temperature,Yes,68,01/04/2024 07:10:24
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,73,01/04/2024 07:14:45
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,78,01/04/2024 07:12:09
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,95,01/04/2024 07:10:49
Temperature,Yes,68,01/04/2024 07:10:24
Temperature,Yes,66,01/04/2024 07:15:45
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,78,01/04/2024 07:12:09
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,44,01/04/2024 07:16:45
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,78,01/04/2024 07:12:09
Temperature,Yes,21,01/04/2024 07:17:45
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,26,01/04/2024 07:18:00
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,99,01/04/2024 07:19:45
Temperature,Yes,62,01/04/2024 07:19:00
Temperature,Yes,39,01/04/2024 07:18:35
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,50,01/04/2024 07:20:45
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,44,01/04/2024 07:21:45
Temperature,Yes,90,01/04/2024 07:21:00
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,69,01/04/2024 07:22:45
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,53,01/04/2024 07:21:15
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,70,01/04/2024 07:23:46
Temperature,Yes,53,01/04/2024 07:23:05
Temperature,Yes,34,01/04/2024 07:22:40
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,53,01/04/2024 07:21:15
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,61,01/04/2024 07:24:47
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,53,01/04/2024 07:21:15
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,54,01/04/2024 07:25:22
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,64,01/04/2024 07:24:27
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,53,01/04/2024 07:21:15
Temperature,Yes,71,01/04/2024 07:26:47
Temperature,Yes,80,01/04/2024 07:26:22
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,54,01/04/2024 07:25:22
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,64,01/04/2024 07:24:27
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,68,01/04/2024 07:27:47
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,54,01/04/2024 07:25:22
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,64,01/04/2024 07:24:27
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,33,01/04/2024 07:28:22
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,54,01/04/2024 07:25:22
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,64,01/04/2024 07:24:27
Temperature,Yes,58,01/04/2024 07:29:48
Temperature,Yes,75,01/04/2024 07:29:23
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,54,01/04/2024 07:25:22
Temperature,Yes,67,01/04/2024 07:30:48
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,85,01/04/2024 07:29:13
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,33,01/04/2024 07:28:22
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,45,01/04/2024 07:31:48
Temperature,Yes,59,01/04/2024 07:31:23
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,85,01/04/2024 07:29:13
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,33,01/04/2024 07:28:22
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,27,01/04/2024 07:32:48
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,85,01/04/2024 07:29:13
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,33,01/04/2024 07:28:22
Temperature,Yes,50,01/04/2024 07:33:48
Temperature,Yes,74,01/04/2024 07:33:23
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,85,01/04/2024 07:29:13
Temperature,Yes,93,01/04/2024 07:34:48
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,33,01/04/2024 07:35:48
Temperature,Yes,95,01/04/2024 07:35:23
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,29,01/04/2024 07:36:49
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,90,01/04/2024 07:37:44
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,83,01/04/2024 07:38:44
Temperature,Yes,23,01/04/2024 07:38:14
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,36,01/04/2024 07:39:44
Temperature,Yes,49,01/04/2024 07:39:14
Temperature,Yes,74,01/04/2024 07:38:49
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,87,01/04/2024 07:37:59
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,23,01/04/2024 07:40:44
Temperature,Yes,56,01/04/2024 07:40:19
Temperature,Yes,77,01/04/2024 07:39:34
Temperature,Yes,91,01/04/2024 07:39:04
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,87,01/04/2024 07:37:59
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,59,01/04/2024 07:41:44
Temperature,Yes,83,01/04/2024 07:41:14
Temperature,Yes,23,01/04/2024 07:40:44
Temperature,Yes,91,01/04/2024 07:39:04
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,87,01/04/2024 07:37:59
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,29,01/04/2024 07:42:44
Temperature,Yes,88,01/04/2024 07:42:19
Temperature,Yes,20,01/04/2024 07:41:24
Temperature,Yes,23,01/04/2024 07:40:44
Temperature,Yes,91,01/04/2024 07:39:04
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,20,01/04/2024 07:43:44
Temperature,Yes,33,01/04/2024 07:43:04
Temperature,Yes,73,01/04/2024 07:42:29
Temperature,Yes,74,01/04/2024 07:42:04
Temperature,Yes,20,01/04/2024 07:41:24
Temperature,Yes,23,01/04/2024 07:40:44
Temperature,Yes,90,01/04/2024 07:44:45
Temperature,Yes,33,01/04/2024 07:43:04
Temperature,Yes,73,01/04/2024 07:42:29
Temperature,Yes,74,01/04/2024 07:42:04
Temperature,Yes,20,01/04/2024 07:41:24
Temperature,Yes,23,01/04/2024 07:40:44
Temperature,Yes,70,01/04/2024 07:45:45
Temperature,Yes,73,01/04/2024 07:45:20
Temperature,Yes,90,01/04/2024 07:44:45
Temperature,Yes,33,01/04/2024 07:43:04
Temperature,Yes,73,01/04/2024 07:42:29
Temperature,Yes,74,01/04/2024 07:42:04
Temperature,Yes,20,01/04/2024 07:41:24
Temperature,Yes,67,01/04/2024 07:46:45
Temperature,Yes,77,01/04/2024 07:46:20
Temperature,Yes,23,01/04/2024 07:45:30
Temperature,Yes,90,01/04/2024 07:44:45
Temperature,Yes,33,01/04/2024 07:43:04
Temperature,Yes,73,01/04/2024 07:42:29
Temperature,Yes,90,01/04/2024 07:47:45
Temperature,Yes,29,01/04/2024 07:46:25
Temperature,Yes,23,01/04/2024 07:45:30
Temperature,Yes,90,01/04/2024 07:44:45
Temperature,Yes,55,01/04/2024 07:48:45
Temperature,Yes,83,01/04/2024 07:48:20
Temperature,Yes,90,01/04/2024 07:47:45
Temperature,Yes,29,01/04/2024 07:46:25
Temperature,Yes,23,01/04/2024 07:45:30
Temperature,Yes,90,01/04/2024 07:44:45
Temperature,Yes,21,01/04/2024 07:50:45
Temperature,Yes,32,01/04/2024 07:49:25
Temperature,Yes,74,01/04/2024 07:48:35
Temperature,Yes,24,01/04/2024 07:47:50
Temperature,Yes,29,01/04/2024 07:46:25
Temperature,Yes,95,01/04/2024 07:51:45
Temperature,Yes,39,01/04/2024 07:51:10
Temperature,Yes,32,01/04/2024 07:49:25
Temperature,Yes,74,01/04/2024 07:48:35
Temperature,Yes,24,01/04/2024 07:47:50
Temperature,Yes,84,01/04/2024 07:52:45
Temperature,Yes,39,01/04/2024 07:51:10
Temperature,Yes,32,01/04/2024 07:49:25
Temperature,Yes,74,01/04/2024 07:48:35
Temperature,Yes,53,01/04/2024 07:53:46
Temperature,Yes,71,01/04/2024 07:53:21
Temperature,Yes,39,01/04/2024 07:51:10
Temperature,Yes,32,01/04/2024 07:49:25
Temperature,Yes,48,01/04/2024 07:54:46
Temperature,Yes,94,01/04/2024 07:54:21
Temperature,Yes,77,01/04/2024 07:52:56
Temperature,Yes,39,01/04/2024 07:51:10
Temperature,Yes,81,01/04/2024 07:55:46
Temperature,Yes,96,01/04/2024 07:55:21
Temperature,Yes,94,01/04/2024 07:54:21
Temperature,Yes,77,01/04/2024 07:52:56
Temperature,Yes,39,01/04/2024 07:51:10
Temperature,Yes,59,01/04/2024 07:56:46
Temperature,Yes,95,01/04/2024 07:56:21
Temperature,Yes,43,01/04/2024 07:55:36
Temperature,Yes,94,01/04/2024 07:54:21
Temperature,Yes,77,01/04/2024 07:52:56
Temperature,Yes,93,01/04/2024 07:57:46
Temperature,Yes,95,01/04/2024 07:56:21
Temperature,Yes,43,01/04/2024 07:55:36
Temperature,Yes,94,01/04/2024 07:54:21
Temperature,Yes,36,01/04/2024 07:58:46
Temperature,Yes,93,01/04/2024 07:57:46
Temperature,Yes,95,01/04/2024 07:56:21
Temperature,Yes,43,01/04/2024 07:55:36
Temperature,Yes,94,01/04/2024 07:54:21
Temperature,Yes,23,01/04/2024 07:59:46
Temperature,Yes,49,01/04/2024 07:59:21
Temperature,Yes,95,01/04/2024 07:58:56
Temperature,Yes,46,01/04/2024 07:58:31
Temperature,Yes,93,01/04/2024 07:57:46
Temperature,Yes,95,01/04/2024 07:56:21
Temperature,Yes,43,01/04/2024 07:55:36
Temperature,Yes,64,01/04/2024 08:01:47
Temperature,Yes,20,01/04/2024 08:01:22
Temperature,Yes,82,01/04/2024 08:00:21
Temperature,Yes,20,01/04/2024 07:59:51
Temperature,Yes,71,01/04/2024 07:59:26
Temperature,Yes,97,01/04/2024 07:59:01
Temperature,Yes,96,01/04/2024 07:58:36
Temperature,Yes,93,01/04/2024 07:57:46
Temperature,Yes,56,01/04/2024 08:02:47
Temperature,Yes,39,01/04/2024 08:02:07
Temperature,Yes,29,01/04/2024 08:01:27
Temperature,Yes,82,01/04/2024 08:00:21
Temperature,Yes,20,01/04/2024 07:59:51
Temperature,Yes,71,01/04/2024 07:59:26
Temperature,Yes,97,01/04/2024 07:59:01
Temperature,Yes,96,01/04/2024 07:58:36
Temperature,Yes,68,01/04/2024 08:03:47
Temperature,Yes,89,01/04/2024 08:02:12
Temperature,Yes,64,01/04/2024 08:01:47
Temperature,Yes,20,01/04/2024 08:01:22
Temperature,Yes,82,01/04/2024 08:00:21
Temperature,Yes,20,01/04/2024 07:59:51
Temperature,Yes,71,01/04/2024 07:59:26
Temperature,Yes,79,01/04/2024 08:04:47
Temperature,Yes,68,01/04/2024 08:03:47
Temperature,Yes,97,01/04/2024 08:03:17
Temperature,Yes,89,01/04/2024 08:02:12
Temperature,Yes,64,01/04/2024 08:01:47
Temperature,Yes,20,01/04/2024 08:01:22
Temperature,Yes,82,01/04/2024 08:00:21
Temperature,Yes,70,01/04/2024 08:05:47
Temperature,Yes,71,01/04/2024 08:05:22
Temperature,Yes,79,01/04/2024 08:04:47
Temperature,Yes,96,01/04/2024 08:03:22
Temperature,Yes,89,01/04/2024 08:02:12
Temperature,Yes,64,01/04/2024 08:01:47
Temperature,Yes,20,01/04/2024 08:01:22
Temperature,Yes,63,01/04/2024 08:06:47
Temperature,Yes,66,01/04/2024 08:06:22
Temperature,Yes,45,01/04/2024 08:05:27
Temperature,Yes,42,01/04/2024 08:05:02
Temperature,Yes,95,01/04/2024 08:04:27
Temperature,Yes,96,01/04/2024 08:03:22
Temperature,Yes,89,01/04/2024 08:02:12
Temperature,Yes,43,01/04/2024 08:07:47
Temperature,Yes,20,01/04/2024 08:07:17
Temperature,Yes,98,01/04/2024 08:06:42
Temperature,Yes,50,01/04/2024 08:05:32
Temperature,Yes,78,01/04/2024 08:05:07
Temperature,Yes,95,01/04/2024 08:04:27
Temperature,Yes,96,01/04/2024 08:03:22
Temperature,Yes,81,01/04/2024 08:08:48
Temperature,Yes,41,01/04/2024 08:08:22
Temperature,Yes,20,01/04/2024 08:07:17
Temperature,Yes,98,01/04/2024 08:06:42
Temperature,Yes,50,01/04/2024 08:05:32
Temperature,Yes,78,01/04/2024 08:05:07
Temperature,Yes,95,01/04/2024 08:04:27
Temperature,Yes,51,01/04/2024 08:09:48
Temperature,Yes,39,01/04/2024 08:09:13
Temperature,Yes,41,01/04/2024 08:08:22
Temperature,Yes,20,01/04/2024 08:07:17
Temperature,Yes,98,01/04/2024 08:06:42
Temperature,Yes,50,01/04/2024 08:05:32
Temperature,Yes,95,01/04/2024 08:10:48
Temperature,Yes,39,01/04/2024 08:09:13
Temperature,Yes,41,01/04/2024 08:08:22
Temperature,Yes,20,01/04/2024 08:07:17
Temperature,Yes,98,01/04/2024 08:06:42
Temperature,Yes,32,01/04/2024 08:11:48
Temperature,Yes,81,01/04/2024 08:11:23
Temperature,Yes,25,01/04/2024 08:10:53
Temperature,Yes,39,01/04/2024 08:09:13
Temperature,Yes,41,01/04/2024 08:08:22
Temperature,Yes,20,01/04/2024 08:07:17
Temperature,Yes,58,01/04/2024 08:12:48
Temperature,Yes,66,01/04/2024 08:12:18
Temperature,Yes,25,01/04/2024 08:11:03
Temperature,Yes,39,01/04/2024 08:09:13
Temperature,Yes,41,01/04/2024 08:08:22
Temperature,Yes,53,01/04/2024 08:13:48
Temperature,Yes,66,01/04/2024 08:13:23
Temperature,Yes,66,01/04/2024 08:12:18
Temperature,Yes,25,01/04/2024 08:11:03
Temperature,Yes,39,01/04/2024 08:09:13
Temperature,Yes,87,01/04/2024 08:14:48
Temperature,Yes,74,01/04/2024 08:14:23
Temperature,Yes,31,01/04/2024 08:13:38
Temperature,Yes,66,01/04/2024 08:12:18
Temperature,Yes,25,01/04/2024 08:11:03
Temperature,Yes,75,01/04/2024 08:15:48
Temperature,Yes,23,01/04/2024 08:15:18
Temperature,Yes,35,01/04/2024 08:14:33
Temperature,Yes,31,01/04/2024 08:13:38
Temperature,Yes,66,01/04/2024 08:12:18
Temperature,Yes,60,01/04/2024 08:16:49
Temperature,Yes,23,01/04/2024 08:15:18
Temperature,Yes,35,01/04/2024 08:14:33
Temperature,Yes,31,01/04/2024 08:13:38
Temperature,Yes,66,01/04/2024 08:12:18
Temperature,Yes,44,01/04/2024 08:17:49
Temperature,Yes,98,01/04/2024 08:16:59
Temperature,Yes,23,01/04/2024 08:15:18
Temperature,Yes,35,01/04/2024 08:14:33
Temperature,Yes,31,01/04/2024 08:13:38
Temperature,Yes,28,01/04/2024 08:18:49
Temperature,Yes,76,01/04/2024 08:18:24
Temperature,Yes,98,01/04/2024 08:16:59
Temperature,Yes,23,01/04/2024 08:15:18
Temperature,Yes,35,01/04/2024 08:14:33
Temperature,Yes,54,01/04/2024 08:24:14
Temperature,Yes,63,01/04/2024 08:23:49
Temperature,Yes,53,01/04/2024 08:19:19
Temperature,Yes,84,01/04/2024 08:18:39
Temperature,Yes,98,01/04/2024 08:16:59
Temperature,Yes,96,01/04/2024 08:25:14
Temperature,Yes,0,01/04/2024 08:24:29
Temperature,Yes,70,01/04/2024 08:23:59
Temperature,Yes,30,01/04/2024 08:23:34
Temperature,Yes,84,01/04/2024 08:18:39
Temperature,Yes,98,01/04/2024 08:16:59
Temperature,Yes,44,01/04/2024 08:26:14
Temperature,Yes,36,01/04/2024 08:25:49
Temperature,Yes,96,01/04/2024 08:25:14
Temperature,Yes,0,01/04/2024 08:24:29
Temperature,Yes,70,01/04/2024 08:23:59
Temperature,Yes,30,01/04/2024 08:23:34
Temperature,Yes,84,01/04/2024 08:18:39
Temperature,Yes,3,01/04/2024 08:28:10
Temperature,Yes,82,01/04/2024 08:26:39
Temperature,Yes,78,01/04/2024 08:26:04
Temperature,Yes,52,01/04/2024 08:24:34
Temperature,Yes,87,01/04/2024 08:24:04
Temperature,Yes,15,01/04/2024 08:23:39
Temperature,Yes,14,01/04/2024 08:29:10
Temperature,Yes,87,01/04/2024 08:28:15
Temperature,Yes,82,01/04/2024 08:26:39
Temperature,Yes,78,01/04/2024 08:26:04
Temperature,Yes,52,01/04/2024 08:24:34
Temperature,Yes,34,01/04/2024 08:30:10
Temperature,Yes,88,01/04/2024 08:29:40
Temperature,Yes,14,01/04/2024 08:29:10
Temperature,Yes,87,01/04/2024 08:28:15
Temperature,Yes,82,01/04/2024 08:26:39
Temperature,Yes,78,01/04/2024 08:26:04
Temperature,Yes,36,01/04/2024 08:31:10
Temperature,Yes,95,01/04/2024 08:30:30
Temperature,Yes,13,01/04/2024 08:30:05
Temperature,Yes,88,01/04/2024 08:29:40
Temperature,Yes,14,01/04/2024 08:29:10
Temperature,Yes,87,01/04/2024 08:28:15
Temperature,Yes,82,01/04/2024 08:26:39
Temperature,Yes,91,01/04/2024 08:32:10
Temperature,Yes,95,01/04/2024 08:30:30
Temperature,Yes,13,01/04/2024 08:30:05
Temperature,Yes,88,01/04/2024 08:29:40
Temperature,Yes,14,01/04/2024 08:29:10
Temperature,Yes,87,01/04/2024 08:28:15
Temperature,Yes,22,01/04/2024 08:33:10
Temperature,Yes,95,01/04/2024 08:30:30
Temperature,Yes,13,01/04/2024 08:30:05
Temperature,Yes,88,01/04/2024 08:29:40
Temperature,Yes,14,01/04/2024 08:29:10
Temperature,Yes,94,01/04/2024 08:34:10
Temperature,Yes,91,01/04/2024 08:33:20
Temperature,Yes,71,01/04/2024 08:32:35
Temperature,Yes,95,01/04/2024 08:30:30
Temperature,Yes,13,01/04/2024 08:30:05
Temperature,Yes,88,01/04/2024 08:29:40
Temperature,Yes,59,01/04/2024 08:35:10
Temperature,Yes,14,01/04/2024 08:34:45
Temperature,Yes,94,01/04/2024 08:34:10
Temperature,Yes,71,01/04/2024 08:32:35
Temperature,Yes,13,01/04/2024 08:37:10
Temperature,Yes,84,01/04/2024 08:36:45
Temperature,Yes,8,01/04/2024 08:35:20
Temperature,Yes,94,01/04/2024 08:34:10
Temperature,Yes,71,01/04/2024 08:32:35
Temperature,Yes,69,01/04/2024 08:38:10
Temperature,Yes,84,01/04/2024 08:36:45
Temperature,Yes,8,01/04/2024 08:35:20
Temperature,Yes,94,01/04/2024 08:34:10
