ParameterName,IsSpike,Value,Time
Temperature,Yes,15,01/03/2024 11:49:41
Temperature,Yes,61,01/03/2024 11:49:21
Temperature,Yes,73,01/03/2024 11:48:51
Temperature,Yes,87,01/03/2024 11:48:41
Temperature,Yes,31,01/04/2024 07:07:24
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,24,01/04/2024 07:06:59
Temperature,Yes,25,01/04/2024 07:06:29
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,30,01/04/2024 07:05:42
Temperature,Yes,44,01/04/2024 07:05:27
Temperature,Yes,49,01/04/2024 07:05:22
Temperature,Yes,62,01/04/2024 07:05:17
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,21,01/04/2024 07:04:02
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,46,01/03/2024 11:50:16
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,61,01/03/2024 11:49:56
Temperature,Yes,7,01/03/2024 11:49:46
Temperature,Yes,15,01/03/2024 11:49:41
Temperature,Yes,56,01/04/2024 07:08:44
Temperature,Yes,27,01/04/2024 07:08:34
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,52,01/04/2024 07:07:29
Temperature,Yes,31,01/04/2024 07:07:24
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,24,01/04/2024 07:06:59
Temperature,Yes,25,01/04/2024 07:06:29
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,30,01/04/2024 07:05:42
Temperature,Yes,44,01/04/2024 07:05:27
Temperature,Yes,49,01/04/2024 07:05:22
Temperature,Yes,62,01/04/2024 07:05:17
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,21,01/04/2024 07:04:02
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,41,01/04/2024 07:09:34
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,97,01/04/2024 07:08:59
Temperature,Yes,27,01/04/2024 07:08:34
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,52,01/04/2024 07:07:29
Temperature,Yes,31,01/04/2024 07:07:24
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,24,01/04/2024 07:06:59
Temperature,Yes,25,01/04/2024 07:06:29
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,30,01/04/2024 07:05:42
Temperature,Yes,44,01/04/2024 07:05:27
Temperature,Yes,49,01/04/2024 07:05:22
Temperature,Yes,62,01/04/2024 07:05:17
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,75,01/04/2024 07:10:34
Temperature,Yes,56,01/04/2024 07:10:29
Temperature,Yes,68,01/04/2024 07:10:24
Temperature,Yes,29,01/04/2024 07:10:14
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,41,01/04/2024 07:09:34
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,97,01/04/2024 07:08:59
Temperature,Yes,27,01/04/2024 07:08:34
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,52,01/04/2024 07:07:29
Temperature,Yes,31,01/04/2024 07:07:24
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,24,01/04/2024 07:06:59
Temperature,Yes,25,01/04/2024 07:06:29
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,73,01/04/2024 07:11:29
Temperature,Yes,82,01/04/2024 07:10:59
Temperature,Yes,81,01/04/2024 07:10:54
Temperature,Yes,75,01/04/2024 07:10:34
Temperature,Yes,56,01/04/2024 07:10:29
Temperature,Yes,29,01/04/2024 07:10:14
Temperature,Yes,25,01/04/2024 07:10:04
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,41,01/04/2024 07:09:34
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,97,01/04/2024 07:08:59
Temperature,Yes,27,01/04/2024 07:08:34
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,52,01/04/2024 07:07:29
Temperature,Yes,31,01/04/2024 07:07:24
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,50,01/04/2024 07:12:19
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,21,01/04/2024 07:11:59
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,73,01/04/2024 07:11:29
Temperature,Yes,82,01/04/2024 07:10:59
Temperature,Yes,81,01/04/2024 07:10:54
Temperature,Yes,75,01/04/2024 07:10:34
Temperature,Yes,56,01/04/2024 07:10:29
Temperature,Yes,29,01/04/2024 07:10:14
Temperature,Yes,25,01/04/2024 07:10:04
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,41,01/04/2024 07:09:34
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,97,01/04/2024 07:08:59
Temperature,Yes,27,01/04/2024 07:08:34
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,99,01/04/2024 07:13:29
Temperature,Yes,60,01/04/2024 07:13:24
Temperature,Yes,38,01/04/2024 07:12:49
Temperature,Yes,83,01/04/2024 07:12:39
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,21,01/04/2024 07:11:59
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,73,01/04/2024 07:11:29
Temperature,Yes,82,01/04/2024 07:10:59
Temperature,Yes,81,01/04/2024 07:10:54
Temperature,Yes,75,01/04/2024 07:10:34
Temperature,Yes,56,01/04/2024 07:10:29
Temperature,Yes,29,01/04/2024 07:10:14
Temperature,Yes,25,01/04/2024 07:10:04
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,41,01/04/2024 07:09:34
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,21,01/04/2024 07:14:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,94,01/04/2024 07:14:14
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,99,01/04/2024 07:13:29
Temperature,Yes,49,01/04/2024 07:13:19
Temperature,Yes,38,01/04/2024 07:12:49
Temperature,Yes,83,01/04/2024 07:12:39
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,21,01/04/2024 07:11:59
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,73,01/04/2024 07:11:29
Temperature,Yes,82,01/04/2024 07:10:59
Temperature,Yes,81,01/04/2024 07:10:54
Temperature,Yes,75,01/04/2024 07:10:34
Temperature,Yes,56,01/04/2024 07:10:29
Temperature,Yes,29,01/04/2024 07:10:14
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,42,01/04/2024 07:15:15
Temperature,Yes,21,01/04/2024 07:14:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,94,01/04/2024 07:14:14
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,99,01/04/2024 07:13:29
Temperature,Yes,49,01/04/2024 07:13:19
Temperature,Yes,38,01/04/2024 07:12:49
Temperature,Yes,83,01/04/2024 07:12:39
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,21,01/04/2024 07:11:59
Temperature,Yes,79,01/04/2024 07:11:34
Temperature,Yes,73,01/04/2024 07:11:29
Temperature,Yes,89,01/04/2024 07:16:35
Temperature,Yes,63,01/04/2024 07:16:25
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,37,01/04/2024 07:16:15
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,93,01/04/2024 07:14:55
Temperature,Yes,21,01/04/2024 07:14:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,94,01/04/2024 07:14:14
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,99,01/04/2024 07:13:29
Temperature,Yes,49,01/04/2024 07:13:19
Temperature,Yes,38,01/04/2024 07:12:49
Temperature,Yes,83,01/04/2024 07:12:39
Temperature,Yes,74,01/04/2024 07:12:34
Temperature,Yes,30,01/04/2024 07:12:14
Temperature,Yes,63,01/04/2024 07:17:30
Temperature,Yes,62,01/04/2024 07:17:25
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,50,01/04/2024 07:16:55
Temperature,Yes,44,01/04/2024 07:16:45
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,37,01/04/2024 07:16:15
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,93,01/04/2024 07:14:55
Temperature,Yes,21,01/04/2024 07:14:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,94,01/04/2024 07:14:14
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,97,01/04/2024 07:13:44
Temperature,Yes,99,01/04/2024 07:13:29
Temperature,Yes,49,01/04/2024 07:13:19
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,27,01/04/2024 07:18:40
Temperature,Yes,88,01/04/2024 07:18:15
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,26,01/04/2024 07:18:00
Temperature,Yes,23,01/04/2024 07:17:55
Temperature,Yes,63,01/04/2024 07:17:30
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,50,01/04/2024 07:16:55
Temperature,Yes,44,01/04/2024 07:16:45
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,37,01/04/2024 07:16:15
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,93,01/04/2024 07:14:55
Temperature,Yes,21,01/04/2024 07:14:40
Temperature,Yes,88,01/04/2024 07:14:19
Temperature,Yes,94,01/04/2024 07:14:14
Temperature,Yes,28,01/04/2024 07:14:09
Temperature,Yes,99,01/04/2024 07:19:45
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,46,01/04/2024 07:19:05
Temperature,Yes,46,01/04/2024 07:18:50
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,27,01/04/2024 07:18:40
Temperature,Yes,88,01/04/2024 07:18:15
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,26,01/04/2024 07:18:00
Temperature,Yes,63,01/04/2024 07:17:30
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,50,01/04/2024 07:16:55
Temperature,Yes,44,01/04/2024 07:16:45
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,37,01/04/2024 07:16:15
Temperature,Yes,23,01/04/2024 07:15:40
Temperature,Yes,90,01/04/2024 07:15:20
Temperature,Yes,59,01/04/2024 07:20:15
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,82,01/04/2024 07:20:00
Temperature,Yes,29,01/04/2024 07:19:50
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,46,01/04/2024 07:19:05
Temperature,Yes,46,01/04/2024 07:18:50
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,27,01/04/2024 07:18:40
Temperature,Yes,88,01/04/2024 07:18:15
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,26,01/04/2024 07:18:00
Temperature,Yes,63,01/04/2024 07:17:30
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,50,01/04/2024 07:16:55
Temperature,Yes,44,01/04/2024 07:16:45
Temperature,Yes,55,01/04/2024 07:16:20
Temperature,Yes,37,01/04/2024 07:16:15
Temperature,Yes,37,01/04/2024 07:21:35
Temperature,Yes,34,01/04/2024 07:21:25
Temperature,Yes,27,01/04/2024 07:21:20
Temperature,Yes,90,01/04/2024 07:21:00
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,29,01/04/2024 07:19:50
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,46,01/04/2024 07:19:05
Temperature,Yes,46,01/04/2024 07:18:50
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,27,01/04/2024 07:18:40
Temperature,Yes,88,01/04/2024 07:18:15
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,26,01/04/2024 07:18:00
Temperature,Yes,63,01/04/2024 07:17:30
Temperature,Yes,91,01/04/2024 07:17:15
Temperature,Yes,92,01/04/2024 07:22:15
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,50,01/04/2024 07:22:00
Temperature,Yes,27,01/04/2024 07:21:20
Temperature,Yes,90,01/04/2024 07:21:00
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,29,01/04/2024 07:19:50
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,46,01/04/2024 07:19:05
Temperature,Yes,46,01/04/2024 07:18:50
Temperature,Yes,75,01/04/2024 07:18:45
Temperature,Yes,27,01/04/2024 07:18:40
Temperature,Yes,88,01/04/2024 07:18:15
Temperature,Yes,90,01/04/2024 07:18:10
Temperature,Yes,50,01/04/2024 07:23:36
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,53,01/04/2024 07:23:05
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,99,01/04/2024 07:22:50
Temperature,Yes,92,01/04/2024 07:22:15
Temperature,Yes,91,01/04/2024 07:22:10
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,50,01/04/2024 07:22:00
Temperature,Yes,27,01/04/2024 07:21:20
Temperature,Yes,90,01/04/2024 07:21:00
Temperature,Yes,28,01/04/2024 07:20:05
Temperature,Yes,29,01/04/2024 07:19:50
Temperature,Yes,50,01/04/2024 07:19:10
Temperature,Yes,20,01/04/2024 07:24:32
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,28,01/04/2024 07:24:12
Temperature,Yes,50,01/04/2024 07:23:36
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,53,01/04/2024 07:23:05
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,99,01/04/2024 07:22:50
Temperature,Yes,92,01/04/2024 07:22:15
Temperature,Yes,91,01/04/2024 07:22:10
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,50,01/04/2024 07:22:00
Temperature,Yes,27,01/04/2024 07:21:20
Temperature,Yes,90,01/04/2024 07:21:00
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,41,01/04/2024 07:25:42
Temperature,Yes,47,01/04/2024 07:25:37
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,20,01/04/2024 07:24:32
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,50,01/04/2024 07:23:36
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,53,01/04/2024 07:23:05
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,99,01/04/2024 07:22:50
Temperature,Yes,92,01/04/2024 07:22:15
Temperature,Yes,91,01/04/2024 07:22:10
Temperature,Yes,42,01/04/2024 07:22:05
Temperature,Yes,50,01/04/2024 07:22:00
Temperature,Yes,27,01/04/2024 07:21:20
Temperature,Yes,71,01/04/2024 07:26:47
Temperature,Yes,30,01/04/2024 07:26:42
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,95,01/04/2024 07:26:27
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,41,01/04/2024 07:25:42
Temperature,Yes,47,01/04/2024 07:25:37
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,20,01/04/2024 07:24:32
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,50,01/04/2024 07:23:36
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,53,01/04/2024 07:23:05
Temperature,Yes,23,01/04/2024 07:23:00
Temperature,Yes,99,01/04/2024 07:22:50
Temperature,Yes,92,01/04/2024 07:22:15
Temperature,Yes,91,01/04/2024 07:22:10
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,30,01/04/2024 07:26:42
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,95,01/04/2024 07:26:27
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,41,01/04/2024 07:25:42
Temperature,Yes,47,01/04/2024 07:25:37
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,20,01/04/2024 07:24:32
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,50,01/04/2024 07:23:36
Temperature,Yes,94,01/04/2024 07:23:26
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,23,01/04/2024 07:28:32
Temperature,Yes,86,01/04/2024 07:28:12
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,30,01/04/2024 07:26:42
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,95,01/04/2024 07:26:27
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,41,01/04/2024 07:25:42
Temperature,Yes,47,01/04/2024 07:25:37
Temperature,Yes,90,01/04/2024 07:24:52
Temperature,Yes,20,01/04/2024 07:24:32
Temperature,Yes,89,01/04/2024 07:24:22
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,81,01/04/2024 07:29:33
Temperature,Yes,81,01/04/2024 07:29:08
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,23,01/04/2024 07:28:32
Temperature,Yes,86,01/04/2024 07:28:12
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,30,01/04/2024 07:26:42
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,95,01/04/2024 07:26:27
Temperature,Yes,98,01/04/2024 07:25:47
Temperature,Yes,41,01/04/2024 07:25:42
Temperature,Yes,47,01/04/2024 07:25:37
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,24,01/04/2024 07:30:13
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,81,01/04/2024 07:29:33
Temperature,Yes,81,01/04/2024 07:29:08
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,23,01/04/2024 07:28:32
Temperature,Yes,86,01/04/2024 07:28:12
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,30,01/04/2024 07:26:42
Temperature,Yes,23,01/04/2024 07:26:37
Temperature,Yes,95,01/04/2024 07:26:27
Temperature,Yes,29,01/04/2024 07:31:28
Temperature,Yes,27,01/04/2024 07:30:53
Temperature,Yes,79,01/04/2024 07:30:43
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,24,01/04/2024 07:30:13
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,81,01/04/2024 07:29:33
Temperature,Yes,81,01/04/2024 07:29:08
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,23,01/04/2024 07:28:32
Temperature,Yes,86,01/04/2024 07:28:12
Temperature,Yes,93,01/04/2024 07:27:32
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,29,01/04/2024 07:31:28
Temperature,Yes,27,01/04/2024 07:30:53
Temperature,Yes,79,01/04/2024 07:30:43
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,24,01/04/2024 07:30:13
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,81,01/04/2024 07:29:33
Temperature,Yes,81,01/04/2024 07:29:08
Temperature,Yes,53,01/04/2024 07:28:47
Temperature,Yes,25,01/04/2024 07:28:37
Temperature,Yes,23,01/04/2024 07:28:32
Temperature,Yes,86,01/04/2024 07:28:12
Temperature,Yes,36,01/04/2024 07:33:28
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,27,01/04/2024 07:33:13
Temperature,Yes,24,01/04/2024 07:32:53
Temperature,Yes,27,01/04/2024 07:32:48
Temperature,Yes,93,01/04/2024 07:32:28
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,29,01/04/2024 07:31:28
Temperature,Yes,27,01/04/2024 07:30:53
Temperature,Yes,79,01/04/2024 07:30:43
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,24,01/04/2024 07:30:13
Temperature,Yes,27,01/04/2024 07:29:38
Temperature,Yes,81,01/04/2024 07:29:33
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,26,01/04/2024 07:34:33
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,99,01/04/2024 07:33:58
Temperature,Yes,36,01/04/2024 07:33:28
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,27,01/04/2024 07:33:13
Temperature,Yes,24,01/04/2024 07:32:53
Temperature,Yes,27,01/04/2024 07:32:48
Temperature,Yes,93,01/04/2024 07:32:28
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,29,01/04/2024 07:31:28
Temperature,Yes,27,01/04/2024 07:30:53
Temperature,Yes,79,01/04/2024 07:30:43
Temperature,Yes,25,01/04/2024 07:30:38
Temperature,Yes,24,01/04/2024 07:30:13
Temperature,Yes,45,01/04/2024 07:35:43
Temperature,Yes,75,01/04/2024 07:35:38
Temperature,Yes,32,01/04/2024 07:35:28
Temperature,Yes,95,01/04/2024 07:35:23
Temperature,Yes,68,01/04/2024 07:34:53
Temperature,Yes,54,01/04/2024 07:34:43
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,26,01/04/2024 07:34:33
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,99,01/04/2024 07:33:58
Temperature,Yes,36,01/04/2024 07:33:28
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,27,01/04/2024 07:33:13
Temperature,Yes,24,01/04/2024 07:32:53
Temperature,Yes,27,01/04/2024 07:32:48
Temperature,Yes,93,01/04/2024 07:32:28
Temperature,Yes,26,01/04/2024 07:32:08
Temperature,Yes,29,01/04/2024 07:31:28
Temperature,Yes,72,01/04/2024 07:36:34
Temperature,Yes,91,01/04/2024 07:36:24
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,95,01/04/2024 07:35:23
Temperature,Yes,69,01/04/2024 07:34:58
Temperature,Yes,68,01/04/2024 07:34:53
Temperature,Yes,54,01/04/2024 07:34:43
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,26,01/04/2024 07:34:33
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,99,01/04/2024 07:33:58
Temperature,Yes,36,01/04/2024 07:33:28
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,27,01/04/2024 07:33:13
Temperature,Yes,24,01/04/2024 07:32:53
Temperature,Yes,27,01/04/2024 07:32:48
Temperature,Yes,93,01/04/2024 07:32:28
Temperature,Yes,25,01/04/2024 07:37:29
Temperature,Yes,47,01/04/2024 07:37:24
Temperature,Yes,20,01/04/2024 07:37:14
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,60,01/04/2024 07:36:44
Temperature,Yes,72,01/04/2024 07:36:34
Temperature,Yes,64,01/04/2024 07:36:19
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,95,01/04/2024 07:35:23
Temperature,Yes,69,01/04/2024 07:34:58
Temperature,Yes,68,01/04/2024 07:34:53
Temperature,Yes,54,01/04/2024 07:34:43
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,26,01/04/2024 07:34:33
Temperature,Yes,24,01/04/2024 07:34:03
Temperature,Yes,99,01/04/2024 07:33:58
Temperature,Yes,36,01/04/2024 07:33:28
Temperature,Yes,84,01/04/2024 07:33:18
Temperature,Yes,27,01/04/2024 07:33:13
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,23,01/04/2024 07:38:14
Temperature,Yes,23,01/04/2024 07:38:09
Temperature,Yes,87,01/04/2024 07:37:59
Temperature,Yes,87,01/04/2024 07:37:54
Temperature,Yes,25,01/04/2024 07:37:29
Temperature,Yes,20,01/04/2024 07:37:14
Temperature,Yes,67,01/04/2024 07:37:09
Temperature,Yes,69,01/04/2024 07:36:59
Temperature,Yes,60,01/04/2024 07:36:44
Temperature,Yes,64,01/04/2024 07:36:19
Temperature,Yes,33,01/04/2024 07:36:14
Temperature,Yes,95,01/04/2024 07:35:23
Temperature,Yes,69,01/04/2024 07:34:58
Temperature,Yes,68,01/04/2024 07:34:53
Temperature,Yes,54,01/04/2024 07:34:43
Temperature,Yes,62,01/04/2024 07:34:38
Temperature,Yes,26,01/04/2024 07:34:33
Temperature,Yes,77,01/04/2024 07:39:34
Temperature,Yes,49,01/04/2024 07:39:14
Temperature,Yes,91,01/04/2024 07:39:04
Temperature,Yes,77,01/04/2024 07:38:59
Temperature,Yes,22,01/04/2024 07:38:54
Temperature,Yes,33,01/04/2024 07:38:24
Temperature,Yes,23,01/04/2024 07:38:14
